開講年度	開講学期	曜日	時限	教員	科目名	授業番号	単位数	シラバスURL	科目区分	学部コード
2023	後期	水	5限	高橋 文	GeneralGenetics2（遺伝学概論２）	I388	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_05_I388.html	専門教育科目	05
2023	前期	水	4限	江口 克之	GeneralTaxonomy（系統分類学概論）	I389	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_05_I389.html	専門教育科目	05
2023	後期	月	4限	安藤 香奈絵	GeneralPhysiology（生理学概論）	I390	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_05_I390.html	専門教育科目	05
2023	前期	火	1限	鐘ヶ江 健	Neuroscience/神経科学各論	I391	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I391.html	専門教育科目	05
2023	前期	木	2限	坂井 貴臣	CellBiology（細胞生物学各論）	I392	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/4/2023_05_I392.html	専門教育科目	05
2023	前期	水	2限	野澤 昌文	EvolutionaryBiology/進化生物学各論	I393	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_05_I393.html	専門教育科目	05
2023	前期	火	2限	成川 礼	Biochemistry（生化学各論）	I394	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I394.html	専門教育科目	05
2023	後期	火	2限	安藤 香奈絵	SpecialLectureinBiology（生物学特別講義）	I395	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I395.html	専門教育科目	05
2023	後期	水	1限	安藤 香奈絵	SpecialLectureinBiology（生物学特別講義）	I396	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_05_I396.html	専門教育科目	05
2023	後期	水	2限	野澤 昌文	SpecialLectureinBiology（生物学特別講義）	I397	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_05_I397.html	専門教育科目	05
2023	前期	火	2限	TamaraP.Eldridge	生物学特別講義（生命英語１）	I399	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I399.html	専門教育科目	05
2023	前期	火	2限	TamaraP.Eldridge	生物学特別講義（生命英語２）	I400	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I400.html	専門教育科目	05
2023	後期	火	2限	TamaraP.Eldridge	生物学特別講義（生命英語３）	I401	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I401.html	専門教育科目	05
2023	後期	火	2限	TamaraP.Eldridge	生物学特別講義（生命英語４）	I402	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I402.html	専門教育科目	05
2023	前期	火	5限	鈴木 登志雄	数学科教育法Ａ	I403	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I403.html	専門教育科目	05
2023	前期	水	5限	横田 佳之	数学科教育法Ｂ	I404	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_05_I404.html	専門教育科目	05
2023	後期	火	5限	津村 博文	数学科教育法Ｃ	I405	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I405.html	専門教育科目	05
2023	後期	水	5限	赤穂 まなぶ	数学科教育法Ｄ	I406	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_05_I406.html	専門教育科目	05
2023	前期	金	6限	土屋 博	理科教育法Ａ	I407	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_05_I407.html	専門教育科目	05
2023	前期	金	5限	内記 昭彦	理科教育法Ｂ	I409	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_05_I409.html	専門教育科目	05
2023	後期	金	5限	鐘ヶ江 健	理科教育法Ｃ	I411	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_05_I411.html	専門教育科目	05
2023	後期	金	6限	田沼 肇	理科教育法Ｄ	I412	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_05_I412.html	専門教育科目	05
2023	前期	水	5限	廣田 耕志	化学コロキウムI	I417	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_05_I417.html	専門教育科目	05
2023	集中	他	0限	高鳥 直士	生理・発生生物学臨海実習（ホヤを使った発生課題研究）	I420	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/9/2023_05_I420.html	専門教育科目	05
2023	前期	水	5限	福田 公子	GeneralDevelopmentalBiology1（発生生物学概論１）	I421	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_05_I421.html	専門教育科目	05
2023	前期	月	5限	AdamLincCronin	GeneralEcology1（生態学概論１）	I422	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_05_I422.html	専門教育科目	05
2023	前期	金	2限	田村 浩一郎	Genetics（遺伝学各論）	I423	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_05_I423.html	専門教育科目	05
2023	後期	火	2限	福田 公子	DevelopmentalBiology/発生生物学各論	I424	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I424.html	専門教育科目	05
2023	前期	月	3限	岡田 泰和	PracticesinBiology1（生物学基礎演習１）	I425	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_05_I425.html	専門教育科目	05
2023	後期	月	3限	岡田 泰和	PracticesinBiology2（生物学基礎演習２）	I426	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_05_I426.html	専門教育科目	05
2023	前期	月	2限	AdamLincCronin	Ecology（生態学各論）	I429	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_05_I429.html	専門教育科目	05
2023	後期	月	5限	AdamLincCronin	GeneralEcology2（生態学概論２）	I430	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_05_I430.html	専門教育科目	05
2023	集中	他	0限	安藤 香奈絵	SpecialLectureinBiology（生物学特別講義）	I433	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/9/2023_05_I433.html	専門教育科目	05
2023	後期	月	2限	AdamLincCronin	SpecialLectureinBiology（生物学特別講義）	I434	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_05_I434.html	専門教育科目	05
2023	前期	水	1限	安藤 香奈絵	MolecularBiology（分子生物学各論）	I435	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_05_I435.html	専門教育科目	05
2023	前期	月	4限	服部 一匡	力学Ⅰ	I439	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_05_I439.html	専門教育科目	05
2023	後期	月	4限	服部 一匡	力学Ⅱ	I440	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_05_I440.html	専門教育科目	05
2023	前期	水,水	3限,4限	宮田 耕充	物理学実験第一	I441	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_05_I441.html	専門教育科目	05
2023	前期	火	4限	伊藤 隆	化学概説Ⅰ（物理学コース用）	I442	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I442.html	専門教育科目	05
2023	前期	火	4限	伊藤 隆	化学概説Ⅰ（物理学コース用）	I443	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I443.html	専門教育科目	05
2023	前期	火	4限	池谷 鉄兵	化学概説Ⅰ（物理学コース用）	I444	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I444.html	専門教育科目	05
2023	後期	火	4限	山添 誠司	化学概説Ⅱ（物理学コース用）	I445	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I445.html	専門教育科目	05
2023	前期	火	3限	高橋 文	生物学概説ⅠＡ（物理学コース用）	I446	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I446.html	専門教育科目	05
2023	前期	水	1限	加藤 潤一	生物学概説ⅠＡ（物理学コース用）	I447	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_05_I447.html	専門教育科目	05
2023	後期	火	3限	黒川 信	生物学概説ⅡＡ（物理学コース用）	I448	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I448.html	専門教育科目	05
2023	後期	水	1限	林 文男	生物学概説ⅡＡ（物理学コース用）	I449	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_05_I449.html	専門教育科目	05
2023	前期	火	4限	伊藤 隆	化学概説Ⅰ（生命科学コース用）	I461	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I461.html	専門教育科目	05
2023	前期	火	4限	伊藤 隆	化学概説Ⅰ（生命科学コース用）	I462	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I462.html	専門教育科目	05
2023	前期	火	4限	池谷 鉄兵	化学概説Ⅰ（生命科学コース用）	I463	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I463.html	専門教育科目	05
2023	後期	火	4限	山添 誠司	化学概説Ⅱ（生命科学コース用）	I464	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I464.html	専門教育科目	05
2023	集中	他	0限	安藤 香奈絵	SpecialLectureinBiology（生物学特別講義）	I465	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/9/2023_05_I465.html	専門教育科目	05
2023	集中	他	0限	安藤 香奈絵	SpecialLectureinBiology（生物学特別講義）	I467	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/9/2023_05_I467.html	専門教育科目	05
2023	後期	月	5限	野澤 昌文	系統分類学概論	I475	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_05_I475.html	専門教育科目	05
